Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Armor2.0,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Shadow Specter,4052950089,"""6917529790908359409""",,Rare,Hunter Cloak,campaign,Hunter,1550,,Arc Energy Capacity,5,Vault,true,false,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Upgrade Armor*,,,,,,,,,,
War Mantis Cloak,3437155610,"""6917529778524733467""",,Rare,Hunter Cloak,campaign,Hunter,1549,,Solar Energy Capacity,5,Vault,true,false,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Upgrade Armor*,,,,,,,,,,
Iron Forerunner Vest,1615052875,"""6917529748344138598""",keep,Legendary,Chest Armor,ironbanner,Hunter,1525,,Solar Energy Capacity,3,Vault,true,true,false,4,15,,2,14,15,2,22,7,62,0,2,14,15,2,22,7,62,0,combatstyle,,Upgrade Armor*,*,*,*,*,Iron Lord's Pride*,,,,,
Gumshoe Gumption Mask,2891906302,"""6917529748474236009""",,Rare,Helmet,campaign,Hunter,1528,,Void Energy Capacity,5,Vault,true,false,false,5,16,,6,16,2,2,6,16,48,0,6,16,2,2,6,16,48,0,,,Upgrade Armor*,*,*,*,*,,,,,,
War Mantis Cloak,3437155610,"""6917529748439242036""",infuse,Rare,Hunter Cloak,campaign,Hunter,1526,,Solar Energy Capacity,5,Vault,true,false,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Upgrade Armor*,,,,,,,,,,
Icarus Drifter Vest,1399263478,"""6917529772408327983""",,Legendary,Chest Armor,legendaryengram,Hunter,1549,,Arc Energy Capacity,2,Vault,true,false,false,3,11,,12,12,6,6,12,6,54,0,12,12,6,6,12,6,54,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Viperidax Strides,1254421266,"""6917529747345732935""",,Legendary,Leg Armor,drifter,Hunter,1527,,Stasis Cost,5,Vault,true,false,false,5,16,,18,2,7,12,9,7,55,0,18,2,7,12,9,7,55,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Prime Zealot Cuirass,1133961267,"""6917529679963262096""",favorite,Legendary,Chest Armor,vog,Hunter,1513,,Solar Energy Capacity,3,Vault,true,true,false,4,14,,6,25,2,22,2,17,74,0,6,25,2,12,2,17,64,0,"combatstyle,vaultofglass",,Discipline Mod*,Upgrade Armor*,*,*,*,*,,,,,
Iron Forerunner Vest,1615052875,"""6917529579055061256""",keep,Legendary,Chest Armor,ironbanner,Hunter,1536,,Arc Energy Capacity,3,Vault,true,true,false,4,15,,18,12,10,11,20,2,73,0,18,2,10,11,20,2,63,0,combatstyle,,Resilience Mod*,Metallic Sunrise*,Upgrade Armor*,*,*,*,*,Wild Hunt Vest*,Iron Lord's Pride*,,
Red Moon Phantom Vest,1571425240,"""6917529709672731536""",,Legendary,Chest Armor,legendaryengram,Hunter,1513,,Stasis Cost,4,Vault,true,true,false,4,13,,9,2,22,16,6,2,57,0,9,2,22,16,6,2,57,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Viperidax Vest,3934586864,"""6917529745839315264""",junk,Legendary,Chest Armor,drifter,Hunter,1521,,Void Energy Capacity,3,Vault,true,false,false,5,16,,19,6,2,9,11,6,53,0,19,6,2,9,11,6,53,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Viperidax Vest,3934586864,"""6917529758456957338""",,Legendary,Chest Armor,drifter,Hunter,1540,,Stasis Cost,3,Vault,true,true,false,5,16,,8,11,8,2,7,20,56,0,8,11,8,2,7,20,56,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
The Bombardiers,1219761634,"""6917529722610996190""",,Exotic,Leg Armor,,Hunter,1513,,Arc Energy Capacity,1,Vault,true,false,false,3,9,,10,2,16,2,19,9,58,0,10,2,16,2,19,9,58,0,combatstyle,,Change Energy Type*,*,*,*,*,Parting Gift*,,,,,
Red Moon Phantom Steps,1649776522,"""6917529759771654506""",,Legendary,Leg Armor,legendaryengram,Hunter,1543,,Stasis Cost,1,Vault,true,false,false,4,13,,12,12,2,12,6,7,51,0,12,12,2,12,6,7,51,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Cinder Pinion Vest,886273156,"""6917529486446062008""",favorite,Legendary,Chest Armor,crucible,Hunter,1521,,Solar Energy Capacity,2,Vault,true,false,false,4,14,,12,15,10,17,12,2,68,0,7,15,10,17,12,2,63,0,combatstyle,,Minor Mobility Mod*,Solar Resistance*,Metallic Sunrise*,Upgrade Armor*,*,*,*,*,Iron Forerunner Vest*,,
Mythos Hack 4.1,1045948748,"""6917529778474555469""",,Rare,Gauntlets,campaign,Hunter,1549,,Arc Energy Capacity,5,Vault,true,false,false,2,4,,12,6,6,12,2,10,48,0,12,6,6,12,2,10,48,0,,,Metallic Sunset*,Upgrade Armor*,*,*,*,*,,,,,
Aeon Safe,1654461647,"""6917529789853419633""",,Exotic,Gauntlets,,Titan,1549,,Arc Energy Capacity,1,Vault,true,false,false,1,2,,9,4,19,7,13,9,61,0,9,4,19,7,13,9,61,0,combatstyle,,Change Energy Type*,*,*,*,*,Sect of Force*,,,,,
Ashen Wake,1734844650,"""6917529778262826149""",,Exotic,Gauntlets,,Titan,1548,,Solar Energy Capacity,1,Vault,true,false,false,1,3,,9,8,18,13,2,14,64,0,9,8,18,13,2,14,64,0,combatstyle,,Change Energy Type*,*,*,*,*,Bring the Heat*,,,,,
Oathkeeper,691578978,"""6917529778281254211""",,Exotic,Gauntlets,,Hunter,1547,,Arc Energy Capacity,1,Vault,true,false,false,2,4,,3,10,17,9,8,12,59,0,3,10,17,9,8,12,59,0,combatstyle,,Change Energy Type*,*,*,*,*,Adamantine Brace*,,,,,
Young Ahamkara's Spine,475652357,"""6917529778455986231""",,Exotic,Gauntlets,,Hunter,1551,,Solar Energy Capacity,1,Vault,true,false,false,1,1,,7,9,18,10,19,2,65,0,7,9,18,10,19,2,65,0,combatstyle,,Change Energy Type*,*,*,*,*,Wish-Dragon Teeth*,,,,,
War Mantis,803939997,"""6917529778288836627""",,Rare,Gauntlets,campaign,Hunter,1547,,Void Energy Capacity,5,Vault,true,false,false,2,4,,9,21,16,0,0,0,46,0,9,21,16,0,0,0,46,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Errant Knight 1.0,215674186,"""6917529770823166832""",,Legendary,Gauntlets,legendaryengram,Hunter,1544,,Void Energy Capacity,1,Vault,true,false,false,4,12,,12,8,8,8,7,15,58,0,12,8,8,8,7,15,58,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Shadow Specter,3309120116,"""6917529778517609721""",,Rare,Chest Armor,campaign,Hunter,1547,,Arc Energy Capacity,5,Vault,true,false,false,2,4,,6,12,7,22,2,2,51,0,6,12,7,22,2,2,51,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Wild Hunt Mask,4079117607,"""6917529441638893927""",favorite,Legendary,Helmet,seasonpass,Hunter,1537,,Arc Energy Capacity,5,Vault,true,true,false,4,12,,8,10,7,18,11,2,56,0,8,10,7,18,11,2,56,0,combatstyle,,Golden Trace*,Upgrade Armor*,*,*,*,*,,,,,
Insight Rover Mask,2298664693,"""6917529492236080378""",keep,Legendary,Helmet,legendaryengram,Hunter,1530,,Solar Energy Capacity,10,Vault,true,true,false,3,11,,15,19,12,9,22,4,81,0,13,7,10,7,20,2,59,0,combatstyle,,Resilience Mod*,Sidearm Targeting*,Ashes to Assets*,Shield Break Charge*,Mercury Vex Chrome*,Upgrade Armor*,*,*,*,*,Gensym Knight Casque*
Road Complex AA1,3959529854,"""6917529759753620561""",,Legendary,Leg Armor,legendaryengram,Hunter,1539,,Arc Energy Capacity,2,Vault,true,false,false,4,15,,2,16,6,8,14,6,52,0,2,16,6,8,14,6,52,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Road Complex AA1,2932691109,"""6917529778275323202""",,Legendary,Helmet,legendaryengram,Hunter,1547,,Arc Energy Capacity,1,Vault,true,false,false,4,15,,7,7,13,8,6,15,56,0,7,7,13,8,6,15,56,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
War Mantis Cloak,3437155610,"""6917529759730246813""",,Rare,Hunter Cloak,campaign,Hunter,1539,,Void Energy Capacity,5,Vault,true,false,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Upgrade Armor*,,,,,,,,,,
Prodigal Mask,3605448950,"""6917529775347386071""",infuse,Legendary,Helmet,legendaryengram,Hunter,1551,,Solar Energy Capacity,1,Vault,true,false,false,4,15,,17,2,8,15,12,2,56,0,17,2,8,15,12,2,56,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
War Mantis,856745412,"""6917529758415822701""",,Rare,Helmet,campaign,Hunter,1539,,Arc Energy Capacity,5,Vault,true,false,false,2,4,,7,10,8,6,11,8,50,0,7,10,8,6,11,8,50,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Getaway Artist,3084282676,"""6917529722610995028""",,Exotic,Gauntlets,,Warlock,1513,,Arc Energy Capacity,1,Vault,true,false,false,2,6,,7,20,7,11,10,9,64,0,7,20,7,11,10,9,64,0,combatstyle,,Change Energy Type*,*,*,*,*,Dynamic Duo*,,,,,
Synthoceps,241462142,"""6917529748485724963""",,Exotic,Gauntlets,,Titan,1529,,Solar Energy Capacity,1,Vault,true,false,false,1,1,,13,17,3,2,18,10,63,0,13,17,3,2,18,10,63,0,combatstyle,,Change Energy Type*,*,*,*,*,Biotic Enhancements*,,,,,
Astrocyte Verse,3948284065,"""6917529778281260712""",,Exotic,Helmet,,Warlock,1548,,Void Energy Capacity,1,Vault,true,false,false,2,7,,3,16,11,7,14,9,60,0,3,16,11,7,14,9,60,0,combatstyle,,Change Energy Type*,*,*,*,*,Move to Survive*,,,,,
War Mantis,856745412,"""6917529778461098168""",,Rare,Helmet,campaign,Hunter,1548,,Arc Energy Capacity,5,Vault,true,false,false,2,4,,12,6,6,2,6,18,50,0,12,6,6,2,6,18,50,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Mythos Hack 4.1,2159062493,"""6917529778502299744""",,Rare,Helmet,campaign,Hunter,1549,,Void Energy Capacity,5,Vault,true,false,false,2,4,,22,2,2,6,6,10,48,0,22,2,2,6,6,10,48,0,,,Metallic Sunset*,Upgrade Armor*,*,*,*,*,,,,,
Eye of Another World,3381022970,"""6917529787236707872""",,Exotic,Helmet,,Warlock,1549,,Void Energy Capacity,1,Vault,true,false,false,1,1,,6,24,4,6,13,10,63,0,6,24,4,6,13,10,63,0,combatstyle,,Change Energy Type*,*,*,*,*,Cerebral Uplink*,,,,,
Mythos Hack 4.1,1045948748,"""6917529758399805425""",,Rare,Gauntlets,campaign,Hunter,1539,,Arc Energy Capacity,5,Vault,true,false,false,2,4,,11,7,6,8,2,16,50,0,11,7,6,8,2,16,50,0,,,Metallic Sunset*,Upgrade Armor*,*,*,*,*,,,,,
Mythos Hack 4.1,1045948748,"""6917529756893784675""",,Rare,Gauntlets,campaign,Hunter,1534,,Arc Energy Capacity,5,Vault,true,false,false,2,4,,12,2,12,11,2,12,51,0,12,2,12,11,2,12,51,0,,,Metallic Sunset*,Upgrade Armor*,*,*,*,*,,,,,
Nea-Thonis Breather,3124726865,"""6917529789841713759""",,Legendary,Helmet,tangled,Hunter,1553,,Arc Energy Capacity,4,Vault,true,false,false,4,12,,7,6,14,6,16,7,56,0,7,6,14,6,16,7,56,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
War Mantis Cloak,3437155610,"""6917529748439234206""",infuse,Rare,Hunter Cloak,campaign,Hunter,1527,,Void Energy Capacity,5,Vault,true,false,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Upgrade Armor*,,,,,,,,,,
Cloak of Retelling,1915498345,"""6917529790913774160""",,Rare,Hunter Cloak,campaign,Hunter,1549,,Solar Energy Capacity,5,Vault,true,false,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Metallic Sunset*,Upgrade Armor*,,,,,,,,,
BrayTech Combat Vest,3360543264,"""6917529748757498888""",junk,Legendary,Chest Armor,,Hunter,1531,,Arc Energy Capacity,3,Vault,true,false,false,3,10,,12,6,6,12,6,7,49,0,12,6,6,12,6,7,49,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Red Moon Phantom Grips,1291141296,"""6917529790896729779""",,Legendary,Gauntlets,legendaryengram,Hunter,1549,,Void Energy Capacity,4,Vault,true,false,false,4,13,,2,6,17,10,2,15,52,0,2,6,17,10,2,15,52,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Anti-Extinction Grasps,3470850110,"""6917529790913775106""",,Legendary,Gauntlets,do,Hunter,1550,,Arc Energy Capacity,3,Vault,true,false,false,3,10,,6,8,13,12,8,6,53,0,6,8,13,12,8,6,53,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Insight Rover Vest,2808379196,"""6917529790949318046""",,Legendary,Chest Armor,legendaryengram,Hunter,1555,,Void Energy Capacity,1,Vault,true,false,false,3,11,,6,7,13,8,2,17,53,0,6,7,13,8,2,17,53,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
War Mantis,856745412,"""6917529748769880752""",,Rare,Helmet,campaign,Hunter,1530,,Void Energy Capacity,5,Vault,true,false,false,2,4,,6,6,10,8,6,12,48,0,6,6,10,8,6,12,48,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Cloak of Retelling,1915498345,"""6917529748752843872""",,Rare,Hunter Cloak,campaign,Hunter,1528,,Solar Energy Capacity,5,Vault,true,false,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Metallic Sunset*,Upgrade Armor*,,,,,,,,,
War Mantis,4155348771,"""6917529749862312461""",,Rare,Chest Armor,campaign,Hunter,1531,,Solar Energy Capacity,5,Vault,true,false,false,2,4,,10,6,6,6,10,6,44,0,10,6,6,6,10,6,44,0,,,Upgrade Armor*,*,*,*,*,,,,,,
The Outlander's Cover,1992338980,"""6917529749812192860""",,Rare,Helmet,campaign,Hunter,1529,,Void Energy Capacity,5,Vault,true,false,false,2,4,,7,2,17,2,10,11,49,0,7,2,17,2,10,11,49,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Clutch Extol Strides,1310207471,"""6917529758375110027""",,Legendary,Leg Armor,crucible,Hunter,1539,,Stasis Cost,4,Vault,true,false,false,5,16,,11,6,12,16,7,7,59,0,11,6,12,16,7,7,59,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Errant Knight 1.0,3166972772,"""6917529758375109132""",,Legendary,Leg Armor,legendaryengram,Hunter,1545,,Void Energy Capacity,2,Vault,true,true,false,4,12,,2,23,2,2,15,13,57,0,2,23,2,2,15,13,57,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Errant Knight 1.0,3166972772,"""6917529758359759114""",,Legendary,Leg Armor,legendaryengram,Hunter,1543,,Solar Energy Capacity,1,Vault,true,false,false,4,12,,7,13,7,6,19,2,54,0,7,13,7,6,19,2,54,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Memory of Cayde Cloak,4210833117,"""6917529758355436246""",,Legendary,Hunter Cloak,campaign,Hunter,1540,,Solar Energy Capacity,1,Vault,true,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Change Energy Type*,,,,,,,,,,
War Mantis,803939997,"""6917529756893788426""",,Rare,Gauntlets,campaign,Hunter,1535,,Arc Energy Capacity,5,Vault,true,false,false,2,4,,16,8,25,0,0,0,49,0,16,8,25,0,0,0,49,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Tangled Web Strides,4154021442,"""6917529749825856670""",,Legendary,Leg Armor,legendaryengram,Hunter,1529,,Void Energy Capacity,4,Vault,true,false,false,4,15,,2,10,13,7,15,6,53,0,2,10,13,7,15,6,53,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
