Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Equip,Charge Time,Draw Time,Accuracy,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15
Perses-D,1019000888,"""6917529789857387072""",,Legendary,Scout Rifle,legendaryengram,KineticSlot,Stasis,1548,,Stability,2,Vault,false,false,5,16,,74,36,67,88,22,0,0,24,150,33,14,31,0,0,0,,High-Impact Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Accurized Rounds*,Steady Rounds,Tunnel Vision*,Explosive Payload*,Radar Tuner*,Tier 2 Weapon*,Hakke Breach Armaments*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
The Keening,409551876,"""6917529772397282656""",,Legendary,Sidearm,crucible,Energy,Arc,1545,,Handling,1,Vault,false,false,4,13,,99,83,49,38,12,0,0,66,300,5,21,66,0,0,0,,Adaptive Frame*,Fluted Barrel*,Polygonal Rifling,Extended Mag*,Ricochet Rounds,Subsistence*,Surrounded*,Tier 1 Weapon*,One Quiet Moment*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Punching Out,378498222,"""6917529740277239259""",,Legendary,Sidearm,strikes,Energy,Solar,1532,,Reload Speed,4,Vault,false,false,4,15,,100,56,35,21,12,0,0,63,450,47,15,62,0,0,0,,SUROS Rapid-Fire*,Arrowhead Brake*,Corkscrew Rifling,Alloy Magazine*,Flared Magwell,Surplus*,Snapshot Sights*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Deepsight Resonance*,,,,
Pleiades Corrector,3556999246,"""6917529599327436854""",,Legendary,Scout Rifle,legendaryengram,Energy,Solar,1350,,Handling,2,Vault,false,false,4,14,,52,76,60,33,25,0,0,48,200,63,16,78,0,0,0,,Lightweight Frame*,Corkscrew Rifling*,Hammer-Forged Rifling,Alloy Magazine*,Ricochet Rounds,Subsistence*,Wellspring*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Fugue-55,2233545123,"""6917529745667623210""",,Legendary,Sniper Rifle,legendaryengram,Energy,Void,1517,,Stability,5,Vault,false,false,5,16,,100,66,70,54,50,0,0,54,90,45,5,57,0,0,0,,Adaptive Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Appended Mag*,Flared Magwell,Compulsive Reloader*,Focused Fury*,Tier 5 Weapon*,Suros Synergy*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Encore-25,1678957659,"""6917529775396905181""",,Rare,Pulse Rifle,campaign,Energy,Arc,1546,,,,Vault,false,false,2,4,,67,55,29,40,17,0,0,46,390,38,35,53,0,0,0,,Adaptive Frame*,SLO-12 Post*,SPO-57 Front,High-Caliber Rounds*,Outlaw*,,,,,,,,,,,
Servant Leader,1107446438,"""6917529755724204358""",,Legendary,Scout Rifle,drifter,KineticSlot,Kinetic,1535,,Reload Speed,1,Vault,false,false,4,15,,64,67,45,19,26,0,0,67,260,30,17,13,0,0,0,,Rapid-Fire Frame*,Chambered Compensator*,Polygonal Rifling,Extended Mag,Steady Rounds*,Heating Up*,Rampage*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Xenoclast IV,2891672170,"""6917529745830836268""",,Legendary,Shotgun,strikes,Energy,Arc,1522,,Range,5,Vault,false,false,4,12,,57,44,65,65,12,0,0,48,90,54,6,66,0,0,0,,Lightweight Frame*,Smoothbore*,Smallbore,Assault Mag*,Appended Mag,Auto-Loading Holster*,Killing Wind*,Mercurian Sunrise*,Tier 5 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Finite Impactor,3813153080,"""6917529709631177836""",,Legendary,Hand Cannon,ironbanner,Energy,Arc,1511,,Range,2,Vault,false,false,5,16,,99,79,84,68,14,0,0,16,140,40,10,45,0,0,0,,Adaptive Frame*,HitMark HCS*,Sureshot HCS,Armor-Piercing Rounds*,Ricochet Rounds,Heating Up*,Iron Reach*,Tier 2 Weapon*,Skulking Wolf*,Suros Synergy,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Syncopation-53,2856514843,"""6917529758344263421""",,Legendary,Pulse Rifle,legendaryengram,KineticSlot,Stasis,1536,,Reload Speed,4,Vault,false,false,5,16,,89,66,29,46,19,0,0,69,390,46,42,41,0,0,0,,Adaptive Frame*,Chambered Compensator*,Fluted Barrel,Appended Mag*,Ricochet Rounds,Outlaw*,Headseeker*,Tier 4 Weapon*,Suros Synergy*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,*,,,
Contingency Plan,577528837,"""6917529582213235907""",,Legendary,Scout Rifle,legendaryengram,Energy,Arc,1350,,Handling,4,Vault,false,false,4,15,,53,66,45,35,20,0,0,50,260,26,17,39,0,0,0,,VEIST Rapid-Fire*,Fluted Barrel*,Full Bore,Accurized Rounds*,Extended Mag,Outlaw*,Frenzy*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Pardon Our Dust,3849810018,"""6917529599316183239""",,Legendary,Grenade Launcher,30th,KineticSlot,Kinetic,1547,,Blast Radius,2,Vault,false,false,4,15,,77,75,0,0,13,0,78,33,90,69,1,68,0,0,0,,Lightweight Frame*,Linear Compensator*,Smart Drift Control,Blinding Grenades*,High-Velocity Rounds,Killing Wind*,Rampage*,Tier 2 Weapon*,Tracker Disabled*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Empty Memento Socket*,*,,
Farewell,541188001,"""6917529750199154374""",,Legendary,Sidearm,servitor,KineticSlot,Kinetic,1350,,Handling,1,Vault,false,false,4,14,,100,71,43,18,12,0,0,50,360,49,18,60,0,0,0,,Lightweight Frame*,Chambered Compensator*,Fluted Barrel,Appended Mag*,Alloy Magazine,Heating Up*,Adrenaline Junkie*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Punching Out,378498222,"""6917529751124159082""",,Legendary,Sidearm,strikes,Energy,Solar,1532,,Handling,2,Vault,false,false,4,15,,98,56,35,31,12,0,0,63,450,43,18,44,0,0,0,,SUROS Rapid-Fire*,Extended Barrel*,Smallbore,Appended Mag*,Armor-Piercing Rounds,Moving Target*,Harmony*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
The Enigma,2595497736,"""6917529709723392005""",,Legendary,Glaive,campaign,Energy,Void,1512,,,,Vault,false,false,5,16,,0,61,80,70,0,0,0,0,55,40,4,35,0,0,0,,Adaptive Glaive*,Ballistic Tuning*,Alloy Magazine*,Tilting at Windmills*,Unrelenting*,Byzantium Lotus*,*,Psychohack*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,*,,,
Far Future,893527433,"""6917529616454240583""",,Legendary,Sniper Rifle,battlegrounds,Energy,Solar,1350,,Range,1,Vault,false,false,4,13,,52,62,70,59,45,0,0,48,90,42,4,41,0,0,0,,Adaptive Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Alloy Magazine*,Flared Magwell,Surplus*,Frenzy*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Hailing Confusion,2870169846,"""6917529638002972347""",,Legendary,Pulse Rifle,europa,KineticSlot,Kinetic,1368,,Reload Speed,1,Vault,false,false,4,12,,82,62,29,37,17,0,0,52,390,23,45,51,0,0,0,,Adaptive Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Extended Mag*,Alloy Magazine,Pulse Monitor*,Demolitionist*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Reckless Endangerment,3216652511,"""6917529745667624081""",,Legendary,Shotgun,crucible,KineticSlot,Kinetic,1527,,Handling,10,Vault,false,false,5,16,,60,50,65,42,12,0,0,50,90,59,6,75,0,0,0,,Lightweight Frame*,Full Choke*,Assault Mag*,Perpetual Motion*,Steady Hands,Swashbuckler*,Snapshot Sights,Masterwork*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Vanguard's Vindication*,One Quiet Moment,Invader Tracker,*,
BxR-55 Battler,2708806099,"""6917529676318659331""",,Legendary,Pulse Rifle,30th,Energy,Solar,1514,,Range,4,Vault,false,false,4,15,,100,85,23,49,20,0,0,74,450,63,35,81,0,0,0,,Legacy PR-55 Frame*,Arrowhead Brake*,Full Bore,Steady Rounds*,Alloy Magazine,Snapshot Sights*,Kill Clip*,Abyssinian Gold*,Full Auto Retrofit*,Tier 4 Weapon*,Tracker Disabled*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Empty Memento Socket*,*
Cantata-57,372697604,"""6917529660230219829""",,Legendary,Hand Cannon,legendaryengram,Energy,Arc,1503,,Range,2,Vault,false,false,5,16,,85,82,84,58,14,0,0,56,140,55,12,52,0,0,0,,Adaptive Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Tactical Mag*,Steady Rounds,Compulsive Reloader*,Timed Payload*,Tier 2 Weapon*,Suros Synergy*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Annual Skate,6857689,"""6917529560031389301""",,Legendary,Hand Cannon,legendaryengram,Energy,Solar,1350,,Stability,2,Vault,false,false,4,15,,88,80,84,40,14,0,0,66,140,48,11,57,0,0,0,,Adaptive Frame*,SteadyHand HCS*,Sureshot HCS,Tactical Mag*,Steady Rounds,Tunnel Vision*,Dragonfly*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Sorrow's Verse,2496875173,"""6917529745622686118""",,Legendary,Auto Rifle,crucible,Energy,Arc,1519,,Reload Speed,3,Vault,false,false,4,15,,53,68,21,39,16,0,0,59,600,61,41,64,0,0,0,,Adaptive Frame*,Polygonal Rifling*,Smallbore,Steady Rounds*,Alloy Magazine,Dynamic Sway Reduction*,Frenzy*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Frontier's Cry,1141547457,"""6917529747320842881""",,Legendary,Hand Cannon,ironbanner,Energy,Solar,1524,,Reload Speed,4,Vault,false,false,5,16,,94,75,78,62,14,0,0,59,180,51,13,41,0,0,0,,Precision Frame*,Hammer-Forged Rifling*,Smallbore,Accurized Rounds*,Flared Magwell,Rapid Hit*,Kill Clip*,Tier 4 Weapon*,Skulking Wolf*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Deafening Whisper,981718087,"""6917529610372157684""",,Legendary,Grenade Launcher,wrathborn,Energy,Void,1528,,Reload Speed,2,Vault,false,false,4,12,,81,63,0,0,13,100,84,38,72,82,1,87,0,0,0,,Wave Frame*,Quick Launch*,Smart Drift Control,High-Velocity Rounds*,Implosion Rounds,Lead from Gold*,Rampage*,Freehand Grip*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Monte Carlo,4068264807,"""6917529778281252997""",,Exotic,Auto Rifle,,KineticSlot,Kinetic,1546,,,,Vault,false,false,3,8,,80,50,21,50,15,0,0,65,600,79,43,80,0,0,0,,Monte Carlo Method*,Fluted Barrel*,High-Caliber Rounds*,Markov Chain*,Composite Stock*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Seventh Seraph VY-7,766323545,"""6917529519862582937""",,Legendary,Submachine Gun,seasonpass,Energy,Arc,1547,,Reload Speed,1,Vault,false,false,3,10,,100,57,25,54,14,0,0,47,600,30,28,30,0,0,0,,Precision Frame*,Arrowhead Brake*,Fluted Barrel,Tactical Mag*,Steady Rounds,Fourth Time's the Charm*,Dragonfly*,Always North*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Lincoln Green,1513927138,"""6917529534634823439""",keep,Legendary,Pulse Rifle,edz,KineticSlot,Kinetic,1350,1060,,,Vault,false,false,1,1,,60,74,23,19,17,0,0,55,540,26,36,37,0,0,0,,Rapid-Fire Frame*,IS 5 Circle*,Model 6 Loop,Mark 15 Lens,Steady Rounds*,Alloy Magazine,Quickdraw*,Kinetic Damage Mod*,Masterwork Upgrade*,,,,,,,
Bygones,2712244741,"""6917529610190865110""",,Legendary,Pulse Rifle,drifter,KineticSlot,Kinetic,1350,1060,Stability,1,Vault,false,false,2,4,,99,61,29,48,17,0,0,56,390,26,47,56,0,0,0,,Adaptive Frame*,Arrowhead Brake*,Corkscrew Rifling,Extended Mag*,Flared Magwell,Kill Clip*,Full Auto Trigger System*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Trustee,1392919471,"""6917529612569062703""",,Legendary,Scout Rifle,deepstonecrypt,Energy,Solar,1350,,Handling,1,Vault,false,false,4,12,,69,67,45,30,19,0,0,68,260,31,17,26,0,0,0,,Rapid-Fire Frame*,Chambered Compensator*,Fluted Barrel,Steady Rounds*,Flared Magwell,Outlaw*,Wellspring*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Empty Vessel,4255586669,"""6917529511578059584""",,Legendary,Grenade Launcher,strikes,Energy,Solar,1350,,Velocity,2,Vault,false,false,4,14,,76,73,0,0,13,100,74,39,90,75,1,64,0,0,0,,Lightweight Frame*,Confined Launch*,Countermass,Proximity Grenades,High-Velocity Rounds*,Threat Detector*,Thresh*,Petiolora Growth*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Grand Overture,1763584999,"""6917529740334682713""",,Exotic,Machine Gun,seasonpass,Power,Arc,1519,,,,Vault,false,false,5,16,,59,60,53,100,17,0,0,90,100,60,70,36,0,0,0,,Wrath of the Colossus*,Hammer-Forged Rifling*,Accurized Rounds*,Omega Strike*,Hand-Laid Stock*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Prometheus Lens,19024058,"""6917529486455521777""",,Exotic,Trace Rifle,,Energy,Solar,1350,,,10,Vault,false,false,1,2,,100,100,6,70,16,0,0,60,1000,40,100,35,0,0,0,,Prismatic Inferno*,Chambered Compensator*,Projection Fuse*,Flame Refraction*,Composite Stock*,Prometheus Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
The Vision,2414141462,"""6917529599316191905""",,Legendary,Sidearm,legendaryengram,Energy,Arc,1350,,Range,1,Vault,false,false,4,14,,90,70,75,31,12,0,0,85,491,12,36,65,0,0,0,,Omolon Adaptive Frame*,QuickDot SAS*,Tactic SAS,Extended Mag*,Steady Rounds,Grave Robber*,Kill Clip*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Death Adder,2742490609,"""6917529485914308543""",,Legendary,Submachine Gun,dungeon,Energy,Solar,1350,,Reload Speed,1,Vault,false,false,3,11,,95,55,15,29,13,0,0,55,900,27,37,65,0,0,0,,Lightweight Frame*,Corkscrew Rifling*,Polygonal Rifling,Steady Rounds*,Flared Magwell,Subsistence*,Dragonfly*,Radar Tuner*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Two-Tailed Fox,2694576561,"""6917529533523100878""",,Exotic,Rocket Launcher,,Power,Void,1502,,,,Vault,false,false,2,4,,61,67,0,0,20,40,50,70,40,39,1,52,0,0,0,,Twintails*,Confined Launch*,High-Velocity Rounds*,Play with Your Prey*,Composite Stock*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Iota Draconis,3044460004,"""6917529599338421837""",,Legendary,Fusion Rifle,lost,Energy,Solar,1509,,Range,4,Vault,false,false,4,15,,73,59,95,65,15,0,0,14,0,0,7,17,960,0,0,,High-Impact Frame*,Full Bore*,Smallbore,Ionized Battery*,Particle Repeater,Under Pressure*,Frenzy*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
IKELOS_SR_v1.0.2,1253087083,"""6917529778486100635""",,Legendary,Sniper Rifle,contact,Energy,Solar,1547,,Handling,2,Vault,false,false,3,11,,67,73,55,30,45,0,0,49,140,57,5,64,0,0,0,,Rapid-Fire Frame*,Chambered Compensator*,Fluted Barrel,Seraph Rounds*,Appended Mag,No Distractions*,High-Impact Reserves*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Vigilance Wing,3628991659,"""6917529519859958332""",,Exotic,Pulse Rifle,,KineticSlot,Kinetic,1350,,,10,Vault,false,false,1,1,,79,60,33,65,17,0,0,70,530,40,30,43,0,0,0,,Harsh Truths*,Corkscrew Rifling*,Alloy Magazine*,Last Stand*,Composite Stock*,Vigilance Wing Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Multimach CCX,3717177717,"""6917529551876666963""",,Legendary,Submachine Gun,ironbanner,KineticSlot,Kinetic,1350,,Range,4,Vault,false,false,4,13,,100,55,15,33,13,0,0,53,900,26,36,80,0,0,0,,Lightweight Frame*,IS 2 Classic*,IS 5 Circle,Steady Rounds*,Flared Magwell,Dynamic Sway Reduction*,Kill Clip*,Vanguard Discipline*,Quick Access Sling*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Azimuth DSu,2591586261,"""6917529778474556878""",,Rare,Hand Cannon,campaign,KineticSlot,Kinetic,1547,,,,Vault,false,false,2,4,,88,62,92,62,14,0,0,12,120,20,7,18,0,0,0,,Aggressive Frame*,Crossfire HCS*,Fastdraw HCS,High-Caliber Rounds*,Kill Clip*,,,,,,,,,,,
Krait,2852052802,"""6917529740252217455""",,Legendary,Auto Rifle,legendaryengram,KineticSlot,Stasis,1528,,Range,1,Vault,false,false,5,16,,56,78,18,39,16,0,0,63,720,53,53,49,0,0,0,,Rapid-Fire Frame*,Corkscrew Rifling*,Hammer-Forged Rifling,Alloy Magazine*,Flared Magwell,Steady Hands*,Moving Target*,Tier 1 Weapon*,Veist Stinger*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Aachen-LR2,4157959958,"""6917529790920020246""",,Rare,Sniper Rifle,campaign,KineticSlot,Kinetic,1552,,,,Vault,false,false,2,4,,50,56,70,60,70,0,0,36,90,34,4,26,0,0,0,,Adaptive Frame*,EagleEye SLR20*,Ambush SLH25,Armor-Piercing Rounds*,Snapshot Sights*,,,,,,,,,,,
Aachen-LR2,4157959958,"""6917529778474552529""",,Rare,Sniper Rifle,campaign,KineticSlot,Kinetic,1548,,,,Vault,false,false,2,4,,50,56,70,60,70,0,0,36,90,34,4,26,0,0,0,,Adaptive Frame*,EagleEye SLR20*,Ambush SLH25,Armor-Piercing Rounds*,Snapshot Sights*,,,,,,,,,,,
Punching Out,378498222,"""6917529790959301072""",,Legendary,Sidearm,strikes,Energy,Solar,1553,,Handling,4,Vault,false,false,4,15,,88,56,35,26,12,0,0,68,450,43,18,61,0,0,0,,SUROS Rapid-Fire*,Corkscrew Rifling*,Extended Barrel,Appended Mag*,Light Mag,Killing Wind*,High-Impact Reserves*,Tier 4 Weapon*,Vanguard's Vindication*,Suros Synergy,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Lunulata-4b,2513965917,"""6917529775306854332""",,Legendary,Combat Bow,legendaryengram,KineticSlot,Stasis,1541,,Accuracy,2,Vault,false,false,5,17,,49,82,68,0,18,0,0,64,0,60,0,67,0,612,47,,Lightweight Frame*,Tactile String*,High Tension String,Fiberglass Arrow Shaft*,Natural Fletching,Well-Rounded*,Turnabout*,Tier 2 Weapon*,Veist Stinger*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
The Huckleberry,2286143274,"""6917529542785021415""",,Exotic,Submachine Gun,,KineticSlot,Kinetic,1350,,,10,Vault,false,false,1,3,,100,49,22,53,15,0,0,51,750,0,37,86,0,0,0,,Ride the Bull*,Fluted Barrel*,Ricochet Rounds*,Rampage*,Short-Action Stock*,Huckleberry Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Twilight Oath,3297863558,"""6917529652244006581""",,Legendary,Sniper Rifle,dreaming,Energy,Solar,1480,,Range,1,Vault,false,false,4,14,,89,70,55,28,35,0,0,36,140,58,5,75,0,0,0,,Rapid-Fire Frame*,Arrowhead Brake*,Corkscrew Rifling,Alloy Magazine*,Flared Magwell,Surplus*,Snapshot Sights*,Burnished Dreams*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
The Colony,3899270607,"""6917529564049718453""",,Exotic,Grenade Launcher,,Power,Void,1512,,,10,Vault,false,false,1,2,,80,60,0,0,13,35,35,90,140,70,7,85,0,0,0,,Insectoid Robot Grenades*,Linear Compensator*,High-Velocity Rounds*,Serve the Colony*,Composite Stock*,Colony Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Sweet Business,1345867570,"""6917529582207734604""",,Exotic,Auto Rifle,,KineticSlot,Kinetic,1350,,,10,Vault,false,false,1,1,,100,80,18,35,16,0,0,55,360,0,45,5,0,0,0,,Payday*,Polygonal Rifling*,Armor-Piercing Rounds*,Business Time*,Composite Stock*,Sweet Business Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
The Jade Rabbit,3844694310,"""6917529696699026528""",,Exotic,Scout Rifle,,KineticSlot,Kinetic,1513,,,10,Vault,false,false,1,2,,100,80,67,85,20,0,0,50,150,54,10,21,0,0,0,,The Fate of All Fools*,Polygonal Rifling*,High-Caliber Rounds*,Zen Moment*,Jade Rabbit Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,,
Chroma Rush,1119734784,"""6917529616448140101""",,Legendary,Auto Rifle,servitor,KineticSlot,Kinetic,1524,,Stability,1,Vault,true,false,4,14,,75,80,18,25,16,0,0,57,720,47,57,45,0,0,0,,Rapid-Fire Frame*,Arrowhead Brake*,Full Bore,Appended Mag*,Steady Rounds,Subsistence*,Thresh*,Quick Access Sling*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
The Title,294129361,"""6917529751130572351""",,Legendary,Submachine Gun,events,Energy,Void,1530,,Range,2,Vault,false,false,5,16,Guardian Games,85,32,22,47,15,0,0,25,750,3,31,53,0,0,0,,Aggressive Frame*,Corkscrew Rifling*,Full Bore,Extended Mag*,Appended Mag,Steady Hands*,Surrounded*,Tier 2 Weapon*,Classy Contender*,Hakke Breach Armaments,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Piece of Mind,2097055732,"""6917529748591202704""",,Legendary,Pulse Rifle,seasonpass,KineticSlot,Kinetic,1530,,Range,1,Vault,false,false,5,16,,88,82,23,37,19,0,0,56,540,32,35,37,0,0,0,,Rapid-Fire Frame*,Arrowhead Brake*,Ricochet Rounds*,Compulsive Reloader*,Focused Fury*,Tier 1 Weapon*,Land Tank*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,*,,,,,
Retraced Path,548958835,"""6917529778480704010""",,Legendary,Trace Rifle,30th,Energy,Solar,1554,,Stability,1,Vault,false,false,4,15,,100,100,6,64,16,0,0,76,1000,45,100,56,0,0,0,,Adaptive Frame*,Arrowhead Brake*,Chambered Compensator,Enhanced Battery*,Tactical Battery,Genesis*,One for All*,Tier 1 Weapon*,Crucible Tracker*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Empty Memento Socket*,*,,
Main Ingredient,253196586,"""6917529552272349290""",,Legendary,Fusion Rifle,strikes,Energy,Arc,1530,,Stability,2,Vault,false,false,3,11,,73,59,80,61,15,0,0,51,0,24,6,46,780,0,0,,Precision Frame*,Hitmark IS*,Red Dot 2 MOA,Red Dot Micro,Enhanced Battery*,Liquid Coils,Moving Target*,Quickdraw*,Vanguard Metallic*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Arbalest,2130065553,"""6917529552268353415""",,Exotic,Linear Fusion Rifle,,KineticSlot,Kinetic,1350,,,,Vault,false,false,2,6,,87,31,41,56,25,0,0,55,0,28,5,20,533,0,0,,Compounding Force*,Extended Barrel*,Projection Fuse*,Disruption Break*,Composite Stock*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
IKELOS_HC_v1.0.2,1200824700,"""6917529579055059206""",,Legendary,Hand Cannon,dungeon,Energy,Void,1350,,Stability,4,Vault,false,false,3,11,,100,75,78,42,14,0,0,64,180,43,14,23,0,0,0,,Precision Frame*,Extended Barrel*,Smallbore,Tactical Mag*,Flared Magwell,Genesis*,Disruption Break*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Ignition Code,304659313,"""6917529564286791076""",,Legendary,Grenade Launcher,servitor,KineticSlot,Kinetic,1350,,Velocity,2,Vault,false,false,4,14,,75,71,0,0,13,0,69,28,90,64,1,59,0,0,0,,Lightweight Frame*,Volatile Launch*,Countermass,Blinding Grenades*,Implosion Rounds,Lead from Gold*,Thresh*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Cold Denial,1216130969,"""6917529610361233041""",,Legendary,Pulse Rifle,seasonpass,KineticSlot,Kinetic,1350,,Stability,1,Vault,false,false,3,11,,83,32,33,57,14,0,0,55,340,54,28,19,0,0,0,,High-Impact Frame*,Chambered Compensator*,Corkscrew Rifling,Alloy Magazine*,Appended Mag,Feeding Frenzy*,Sympathetic Arsenal*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Sorrow's Verse,2496875173,"""6917529610136659986""",,Legendary,Auto Rifle,crucible,Energy,Arc,1350,,Stability,2,Vault,false,false,4,15,,83,68,21,44,16,0,0,41,600,68,43,74,0,0,0,,Adaptive Frame*,Arrowhead Brake*,Extended Barrel,Tactical Mag*,Flared Magwell,Surplus*,Thresh*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
No Time to Explain,1594120904,"""6917529492985128745""",favorite,Exotic,Pulse Rifle,deluxe,KineticSlot,Kinetic,1350,,,,Vault,false,false,4,12,,90,45,33,80,17,0,0,60,340,60,24,57,0,0,0,,Rewind Again*,Fluted Barrel*,Accurized Rounds*,Time-Slip*,Full Auto Trigger System*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Lonesome,2199171672,"""6917529659872200160""",,Legendary,Sidearm,gambitprime,KineticSlot,Kinetic,1497,,Stability,2,Vault,false,false,3,11,,100,86,51,58,12,0,0,54,260,21,12,28,0,0,0,,Precision Frame*,Chambered Compensator*,Smallbore,Alloy Magazine*,Appended Mag,Full Auto Trigger System*,Swashbuckler*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Fractethyst,3184681056,"""6917529498958651966""",,Legendary,Shotgun,seasonpass,KineticSlot,Stasis,1547,,Stability,1,Vault,false,false,4,15,,75,72,70,82,12,0,0,46,65,50,5,26,0,0,0,,Precision Frame*,Rifled Barrel*,Accurized Rounds*,Ensemble*,Opening Shot*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Occluded Finality,852551895,"""6917529745672652330""",,Legendary,Sniper Rifle,ironbanner,Energy,Arc,1521,,Range,1,Vault,false,false,5,16,,100,47,90,76,58,0,0,29,72,34,3,40,0,0,0,,Aggressive Frame*,Arrowhead Brake*,Polygonal Rifling,Alloy Magazine*,Appended Mag,Under Pressure*,Firing Line*,Tier 1 Weapon*,Skulking Wolf*,Suros Synergy,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
